Attribute_ID,Attribute_Name,Count_1_Positive,Count_0_Negative,Count_2_Unknown
00,Age-Young,6438,139218,0
01,Age-Adult,136361,9295,0
02,Age-Old,2837,142819,0
03,Gender-Female,65231,80425,0
04,Hair-Length-Short,92090,53566,0
05,Hair-Length-Long,40962,104694,0
06,Hair-Length-Bald,2009,143647,0
07,UpperBody-Length-Short,86784,58872,0
08,UpperBody-Color-Black,40728,104928,0
09,UpperBody-Color-Blue,10256,135400,0
10,UpperBody-Color-Brown,4125,141531,0
11,UpperBody-Color-Green,4273,141383,0
12,UpperBody-Color-Grey,22149,123507,0
13,UpperBody-Color-Orange,908,144748,0
14,UpperBody-Color-Pink,3119,142537,0
15,UpperBody-Color-Purple,3040,142616,0
16,UpperBody-Color-Red,7515,138141,0
17,UpperBody-Color-White,39358,106298,0
18,UpperBody-Color-Yellow,3788,141868,0
19,UpperBody-Color-Other,8671,136985,0
20,LowerBody-Length-Short,36131,109525,0
21,LowerBody-Color-Black,80744,64912,0
22,LowerBody-Color-Blue,23598,122058,0
23,LowerBody-Color-Brown,5733,139923,0
24,LowerBody-Color-Green,1311,144345,0
25,LowerBody-Color-Grey,20092,125564,0
26,LowerBody-Color-Orange,380,145276,0
27,LowerBody-Color-Pink,1956,143700,0
28,LowerBody-Color-Purple,236,145420,0
29,LowerBody-Color-Red,972,144684,0
30,LowerBody-Color-White,6707,138949,0
31,LowerBody-Color-Yellow,572,145084,0
32,LowerBody-Color-Other,3722,141934,0
33,LowerBody-Type-Trousers&Shorts,129705,15951,0
34,LowerBody-Type-Skirt&Dress,15954,129702,0
35,Accessory-Backpack,26774,118882,0
36,Accessory-Bag,47723,97933,0
37,Accessory-Glasses-Normal,21759,123897,0
38,Accessory-Glasses-Sun,1851,143805,0
39,Accessory-Hat,6674,138982,0
