Attribute_ID,Attribute_Name,mA,Precision,Recall,F1
00,Age-Young,0.5562,0.4227,0.1142,0.1798
01,Age-Adult,0.5864,0.9686,0.9942,0.9812
02,Age-Old,0.6008,0.7123,0.2037,0.3167
03,Gender-Female,0.6184,0.8582,0.2701,0.4109
04,Hair-Length-Short,0.6200,0.7203,0.9535,0.8207
05,Hair-Length-Long,0.6460,0.3902,0.9696,0.5564
06,Hair-Length-Bald,0.5707,0.3118,0.1457,0.1986
07,UpperBody-Length-Short,0.6927,0.7083,0.9679,0.8180
08,UpperBody-Color-Black,0.6652,0.8065,0.3624,0.5000
09,UpperBody-Color-Blue,0.6398,0.6316,0.2952,0.4024
10,UpperBody-Color-Brown,0.5921,0.1659,0.2078,0.1845
11,UpperBody-Color-Green,0.5242,0.3158,0.0534,0.0913
12,UpperBody-Color-Grey,0.5946,0.1996,0.9089,0.3273
13,UpperBody-Color-Orange,0.7666,0.5532,0.5361,0.5445
14,UpperBody-Color-Pink,0.7430,0.4565,0.4929,0.4740
15,UpperBody-Color-Purple,0.5234,0.1439,0.0552,0.0798
16,UpperBody-Color-Red,0.6652,0.0955,0.9970,0.1743
17,UpperBody-Color-White,0.6075,0.6864,0.2466,0.3628
18,UpperBody-Color-Yellow,0.5301,0.3655,0.0658,0.1115
19,UpperBody-Color-Other,0.6836,0.5717,0.3903,0.4639
20,LowerBody-Length-Short,0.7017,0.4703,0.9778,0.6351
21,LowerBody-Color-Black,0.6745,0.9262,0.3793,0.5382
22,LowerBody-Color-Blue,0.6358,0.2280,0.9637,0.3687
23,LowerBody-Color-Brown,0.5135,0.0938,0.0475,0.0631
24,LowerBody-Color-Green,0.5266,0.5789,0.0537,0.0982
25,LowerBody-Color-Grey,0.6363,0.2255,0.9510,0.3645
26,LowerBody-Color-Orange,0.8710,0.6667,0.7429,0.7027
27,LowerBody-Color-Pink,0.5323,0.3836,0.0662,0.1129
28,LowerBody-Color-Purple,0.4999,0.0000,0.0000,0.0000
29,LowerBody-Color-Red,0.7999,0.2484,0.6077,0.3527
30,LowerBody-Color-White,0.5570,0.3347,0.1251,0.1821
31,LowerBody-Color-Yellow,0.6724,0.3000,0.3462,0.3214
32,LowerBody-Color-Other,0.5762,0.4315,0.1600,0.2334
33,LowerBody-Type-Trousers&Shorts,0.6000,0.9240,0.9746,0.9486
34,LowerBody-Type-Skirt&Dress,0.5947,0.4573,0.2158,0.2933
35,Accessory-Backpack,0.6256,0.2607,0.9174,0.4060
36,Accessory-Bag,0.6014,0.6626,0.2590,0.3724
37,Accessory-Glasses-Normal,0.6158,0.3990,0.3035,0.3447
38,Accessory-Glasses-Sun,0.5004,0.0526,0.0014,0.0028
39,Accessory-Hat,0.5508,0.4684,0.1072,0.1745
